"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6940","Add products to cart","tests.card","Sat Nov 01 19:16:34 MSK 2025","passed","Sat Nov 01 19:16:41 MSK 2025","TestCart","test_cart","",""
"","6770","User login with wrong email","tests.authentication","Sat Nov 01 19:16:15 MSK 2025","passed","Sat Nov 01 19:16:22 MSK 2025","TestAuthorization","test_authorization","",""
"","6139","User login with wrong credentials","tests.authentication","Sat Nov 01 19:16:15 MSK 2025","passed","Sat Nov 01 19:16:21 MSK 2025","TestAuthorization","test_authorization","",""
"","5167","Sorting products by price high to low","tests.products","Sat Nov 01 19:17:00 MSK 2025","passed","Sat Nov 01 19:17:05 MSK 2025","TestSortingProducts","test_sorting_products","",""
"","5380","Sorting products by name alphabetically z to a","tests.products","Sat Nov 01 19:17:03 MSK 2025","failed","Sat Nov 01 19:17:08 MSK 2025","TestSortingProducts","test_sorting_products","",""
"","6921","Removing products from favorites","tests.products","Sat Nov 01 19:16:57 MSK 2025","passed","Sat Nov 01 19:17:03 MSK 2025","TestFavoriteProducts","test_favorite_products","",""
"","4853","Sorting products by name alphabetically a to z","tests.products","Sat Nov 01 19:17:04 MSK 2025","failed","Sat Nov 01 19:17:09 MSK 2025","TestSortingProducts","test_sorting_products","",""
"","4514","Navigation from login page to home page","tests.authentication","Sat Nov 01 19:16:22 MSK 2025","passed","Sat Nov 01 19:16:26 MSK 2025","TestAuthorization","test_authorization","",""
"","6668","Add products to cart from products card","tests.card","Sat Nov 01 19:16:37 MSK 2025","passed","Sat Nov 01 19:16:43 MSK 2025","TestCart","test_cart","",""
"","4456","Sorting products by price low to high","tests.products","Sat Nov 01 19:16:57 MSK 2025","passed","Sat Nov 01 19:17:02 MSK 2025","TestSortingProducts","test_sorting_products","",""
"","7841","Add products to favorites from products card","tests.products","Sat Nov 01 19:16:52 MSK 2025","passed","Sat Nov 01 19:16:59 MSK 2025","TestFavoriteProducts","test_favorite_products","",""
"","6191","Removing products from cart","tests.card","Sat Nov 01 19:16:42 MSK 2025","passed","Sat Nov 01 19:16:48 MSK 2025","TestCart","test_cart","",""
"","7226","User login with correct email and password","tests.authentication","Sat Nov 01 19:16:15 MSK 2025","passed","Sat Nov 01 19:16:22 MSK 2025","TestAuthorization","test_authorization","",""
"","7213","Add products to favorites","tests.products","Sat Nov 01 19:16:49 MSK 2025","passed","Sat Nov 01 19:16:56 MSK 2025","TestFavoriteProducts","test_favorite_products","",""
"","6349","User login with wrong password","tests.authentication","Sat Nov 01 19:16:22 MSK 2025","passed","Sat Nov 01 19:16:29 MSK 2025","TestAuthorization","test_authorization","",""
"","6901","Add products to cart from favorites","tests.card","Sat Nov 01 19:16:37 MSK 2025","passed","Sat Nov 01 19:16:44 MSK 2025","TestCart","test_cart","",""
"","10862","Checkout with multiple products","tests.checkout","Sat Nov 01 19:16:45 MSK 2025","passed","Sat Nov 01 19:16:56 MSK 2025","TestCheckout","test_checkout","",""
"","6577","Add product with selected quantity from product card","tests.card","Sat Nov 01 19:16:44 MSK 2025","passed","Sat Nov 01 19:16:51 MSK 2025","TestCart","test_cart","",""
"","7181","User logout","tests.authentication","Sat Nov 01 19:16:29 MSK 2025","passed","Sat Nov 01 19:16:36 MSK 2025","TestAuthorization","test_authorization","",""
